(+ve word count) ,(-ve word count),(overall polarity),(times change in pol),(largest + cont),(largest - cont),(capital letters),(punctuation)
1,0,1,0,1,0,10,0
0,1,-1,0,0,1,6,4
0,1,-2,0,0,1,1,2
1,0,2,0,1,0,2,1
1,0,2,0,1,0,5,0
1,0,1,0,1,0,10,0
0,0,0,0,0,0,7,0
0,0,0,0,0,0,4,1
0,0,0,0,0,0,4,0
1,1,-1,1,1,1,4,0
0,1,-2,0,0,1,0,1
0,0,0,0,0,0,2,0
1,0,2,0,1,0,1,0
1,0,1,0,1,0,3,0
0,2,-2,0,0,2,1,0
2,0,2,0,2,0,2,0
1,0,1,0,1,0,0,1
1,0,2,0,1,0,1,0
0,0,0,0,0,0,3,1
0,0,0,0,0,0,1,1
2,0,3,0,2,0,13,5
0,2,-2,0,0,2,4,2
0,1,-1,0,0,1,2,1
1,1,1,1,1,1,4,4
1,0,1,0,1,0,5,2
0,1,-1,0,0,1,6,2
2,2,-1,1,2,2,1,0
1,1,0,1,1,1,1,8
0,0,0,0,0,0,5,1
0,1,-1,0,0,1,6,2
1,1,0,1,1,1,2,2
0,0,0,0,0,0,2,2
1,1,1,1,1,1,9,0
0,0,0,0,0,0,3,0
3,4,0,3,2,3,6,0
0,0,0,0,0,0,8,0
0,0,0,0,0,0,6,0
0,1,-2,0,0,1,4,0
1,1,-1,1,1,1,2,0
0,1,-1,0,0,1,1,0
2,0,2,0,2,0,2,3
0,3,-4,0,0,3,3,0
1,0,1,0,1,0,2,0
0,0,0,0,0,0,14,0
1,0,1,0,1,0,12,1
3,0,3,0,3,0,6,1
0,1,-2,0,0,1,7,0
1,0,1,0,1,0,6,0
1,0,1,0,1,0,8,0
1,1,0,1,1,1,2,0
0,0,0,0,0,0,11,3
1,0,1,0,1,0,0,0
1,1,0,1,1,1,7,0
0,1,-2,0,0,1,2,1
0,1,-2,0,0,1,1,1
1,0,2,0,1,0,3,0
0,0,0,0,0,0,1,1
0,1,-1,0,0,1,1,0
0,0,0,0,0,0,1,1
1,0,2,0,1,0,1,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,3,0
0,1,-1,0,0,1,8,0
1,0,2,0,1,0,1,0
0,0,0,0,0,0,3,0
1,2,-1,1,1,2,6,0
1,0,1,0,1,0,1,1
0,1,-2,0,0,1,11,0
1,1,0,1,1,1,1,2
1,0,1,0,1,0,1,1
1,0,2,0,1,0,1,0
1,2,-1,1,1,2,6,0
1,0,1,0,1,0,0,0
3,0,3,0,3,0,2,0
1,1,0,1,1,1,0,0
1,1,1,1,1,1,4,3
1,0,2,0,1,0,9,0
1,2,-1,2,1,1,1,0
2,0,3,0,2,0,29,0
0,0,0,0,0,0,13,5
1,0,2,0,1,0,2,0
1,0,1,0,1,0,1,0
1,0,1,0,1,0,4,0
2,0,3,0,2,0,3,2
1,1,1,1,1,1,5,3
0,0,0,0,0,0,2,0
0,1,-1,0,0,1,2,1
0,0,0,0,0,0,3,2
1,0,2,0,1,0,1,0
0,0,0,0,0,0,5,0
0,0,0,0,0,0,9,1
1,0,1,0,1,0,0,0
0,1,-2,0,0,1,6,0
1,0,1,0,1,0,15,1
2,1,3,1,2,1,3,0
1,0,2,0,1,0,5,0
0,0,0,0,0,0,1,0
2,0,4,0,2,0,4,7
0,1,-2,0,0,1,0,0
1,1,-1,1,1,1,10,2
0,0,0,0,0,0,7,4
0,0,0,0,0,0,3,2
3,0,3,0,3,0,14,0
1,0,2,0,1,0,1,0
0,1,-2,0,0,1,1,0
0,1,-3,0,0,1,3,0
2,0,2,0,2,0,2,0
0,1,-1,0,0,1,15,0
0,0,0,0,0,0,4,0
0,0,0,0,0,0,18,1
0,1,-1,0,0,1,3,0
1,1,1,1,1,1,2,0
1,0,1,0,1,0,3,2
0,1,-1,0,0,1,1,2
1,1,1,1,1,1,6,0
1,0,2,0,1,0,1,0
2,1,0,2,1,1,4,0
2,0,2,0,2,0,1,1
2,0,2,0,2,0,2,0
1,1,0,1,1,1,2,0
1,0,2,0,1,0,0,10
0,0,0,0,0,0,3,4
1,0,1,0,1,0,2,0
0,1,-3,0,0,1,6,2
0,0,0,0,0,0,7,5
1,1,0,1,1,1,6,0
1,0,2,0,1,0,17,1
0,0,0,0,0,0,2,2
0,0,0,0,0,0,3,0
3,0,6,0,3,0,2,1
1,0,1,0,1,0,1,0
0,0,0,0,0,0,0,0
0,1,-1,0,0,1,1,0
1,2,-1,1,1,2,1,0
0,0,0,0,0,0,10,1
2,0,2,0,2,0,2,0
0,0,0,0,0,0,7,1
0,0,0,0,0,0,1,0
2,1,1,2,1,1,1,0
1,1,-1,1,1,1,5,3
2,1,0,2,1,1,3,1
0,0,0,0,0,0,9,0
1,1,0,1,1,1,3,0
1,0,2,0,1,0,11,1
2,0,4,0,2,0,3,0
0,1,-1,0,0,1,5,9
0,1,-1,0,0,1,9,1
0,0,0,0,0,0,3,0
2,0,4,0,2,0,2,1
0,1,-1,0,0,1,0,0
1,2,-3,1,1,2,2,0
0,2,-2,0,0,2,0,1
0,1,-1,0,0,1,5,2
0,0,0,0,0,0,1,0
0,2,-2,0,0,2,5,0
1,0,3,0,1,0,9,0
0,2,-4,0,0,2,9,2
2,0,2,0,2,0,18,0
0,1,-2,0,0,1,4,0
0,1,-3,0,0,1,3,1
0,1,-1,0,0,1,11,3
0,0,0,0,0,0,1,2
0,0,0,0,0,0,51,0
0,0,0,0,0,0,12,2
0,1,-1,0,0,1,9,1
1,0,1,0,1,0,6,0
1,1,-2,1,1,1,21,3
0,2,-3,0,0,2,6,1
1,3,-2,2,1,2,1,0
0,0,0,0,0,0,0,0
1,0,2,0,1,0,8,1
0,0,0,0,0,0,2,0
0,0,0,0,0,0,1,2
0,0,0,0,0,0,5,2
1,0,1,0,1,0,5,1
0,0,0,0,0,0,6,1
0,0,0,0,0,0,1,0
0,2,-2,0,0,2,1,1
0,0,0,0,0,0,2,0
2,0,4,0,2,0,12,0
0,0,0,0,0,0,4,0
0,0,0,0,0,0,6,0
1,1,1,1,1,1,6,0
1,0,1,0,1,0,6,1
0,0,0,0,0,0,1,2
1,0,1,0,1,0,3,0
3,0,3,0,3,0,2,2
1,0,1,0,1,0,1,2
1,0,1,0,1,0,2,0
0,2,-4,0,0,2,10,0
1,0,2,0,1,0,2,2
1,0,1,0,1,0,2,0
0,1,-3,0,0,1,4,3
3,0,3,0,3,0,4,0
0,0,0,0,0,0,2,0
0,0,0,0,0,0,6,0
1,0,1,0,1,0,2,2
2,1,1,1,2,1,1,0
1,0,1,0,1,0,1,1
0,1,-2,0,0,1,3,2
2,1,2,2,1,1,7,1
0,3,-4,0,0,3,5,0
0,1,-1,0,0,1,11,1
0,0,0,0,0,0,2,0
1,1,0,1,1,1,1,0
1,0,1,0,1,0,4,0
0,0,0,0,0,0,0,1
0,0,0,0,0,0,3,0
0,1,-2,0,0,1,14,1
0,0,0,0,0,0,2,0
0,0,0,0,0,0,3,1
0,0,0,0,0,0,3,4
0,1,-1,0,0,1,7,0
1,1,-1,1,1,1,1,0
2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,2
1,0,1,0,1,0,1,0
0,0,0,0,0,0,2,1
1,0,1,0,1,0,4,2
1,0,2,0,1,0,12,1
1,0,1,0,1,0,3,2
2,0,4,0,2,0,5,1
1,0,1,0,1,0,6,0
1,1,1,1,1,1,4,0
0,1,-1,0,0,1,3,0
0,2,-2,0,0,2,5,0
1,0,1,0,1,0,7,1
0,0,0,0,0,0,1,1
0,1,-1,0,0,1,2,1
0,1,-1,0,0,1,11,1
2,0,4,0,2,0,3,5
0,1,-1,0,0,1,0,0
0,0,0,0,0,0,7,0
2,0,3,0,2,0,1,0
0,0,0,0,0,0,2,0
1,0,2,0,1,0,1,2
1,1,0,1,1,1,4,0
1,0,1,0,1,0,7,0
1,0,2,0,1,0,0,2
2,0,3,0,2,0,18,0
1,2,-1,1,1,2,1,0
0,1,-1,0,0,1,2,0
0,0,0,0,0,0,3,0
0,1,-1,0,0,1,3,0
1,1,0,1,1,1,2,5
1,0,2,0,1,0,1,0
0,0,0,0,0,0,4,0
1,0,2,0,1,0,5,0
1,0,1,0,1,0,3,2
0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,3
0,0,0,0,0,0,2,0
1,0,1,0,1,0,5,0
2,0,3,0,2,0,18,0
1,0,1,0,1,0,1,2
1,0,1,0,1,0,1,0
0,1,-2,0,0,1,3,0
1,0,1,0,1,0,3,0
0,0,0,0,0,0,1,7
0,1,-3,0,0,1,2,2
1,0,1,0,1,0,1,0
0,1,-2,0,0,1,1,4
3,0,4,0,3,0,7,0
1,0,1,0,1,0,9,0
1,1,0,1,1,1,4,0
0,1,-3,0,0,1,3,5
5,0,6,0,5,0,2,0
0,2,-2,0,0,2,6,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,4,1
1,1,0,1,1,1,2,4
0,0,0,0,0,0,2,2
1,0,1,0,1,0,1,3
2,2,1,2,1,2,1,0
0,1,-2,0,0,1,9,2
1,0,3,0,1,0,10,0
1,0,1,0,1,0,4,1
2,1,2,2,1,1,4,0
1,1,-1,1,1,1,3,0
0,0,0,0,0,0,2,0
1,2,0,1,1,2,1,1
2,0,2,0,2,0,11,0
1,0,1,0,1,0,2,0
2,0,3,0,2,0,11,1
1,1,1,1,1,1,3,4
1,0,2,0,1,0,3,4
0,1,-2,0,0,1,2,0
3,0,3,0,3,0,1,0
0,0,0,0,0,0,1,0
0,1,-1,0,0,1,6,3
0,0,0,0,0,0,1,0
1,1,0,1,1,1,3,0
1,1,-2,1,1,1,6,0
1,0,1,0,1,0,1,0
0,0,0,0,0,0,2,0
0,1,-1,0,0,1,11,1
0,1,-1,0,0,1,0,0
1,0,1,0,1,0,6,0
0,0,0,0,0,0,3,0
1,0,1,0,1,0,3,0
1,0,1,0,1,0,1,1
1,0,1,0,1,0,8,3
0,0,0,0,0,0,2,0
2,2,-2,1,2,2,1,0
0,0,0,0,0,0,5,1
3,1,5,1,3,1,4,0
1,0,1,0,1,0,1,0
1,0,2,0,1,0,1,0
0,2,-2,0,0,2,7,0
0,2,-2,0,0,2,1,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,4
0,0,0,0,0,0,9,0
2,1,0,1,2,1,1,0
0,0,0,0,0,0,6,1
1,1,-1,1,1,1,1,0
2,0,4,0,2,0,5,0
0,0,0,0,0,0,5,0
0,0,0,0,0,0,7,3
0,1,-2,0,0,1,1,0
1,0,1,0,1,0,1,0
0,0,0,0,0,0,8,1
1,1,0,1,1,1,4,0
1,0,1,0,1,0,1,1
0,0,0,0,0,0,4,0
0,3,-6,0,0,3,14,0
0,1,-1,0,0,1,8,3
0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,2
0,0,0,0,0,0,9,7
0,1,-1,0,0,1,0,1
1,0,1,0,1,0,1,1
1,0,2,0,1,0,2,0
0,0,0,0,0,0,1,5
0,0,0,0,0,0,2,0
1,0,2,0,1,0,1,0
1,0,1,0,1,0,11,1
1,0,2,0,1,0,1,2
0,0,0,0,0,0,1,3
2,2,-1,2,1,2,3,2
0,1,-3,0,0,1,0,2
0,1,-2,0,0,1,8,3
0,1,-2,0,0,1,11,0
0,1,-1,0,0,1,6,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,2
1,0,2,0,1,0,1,0
0,0,0,0,0,0,1,0
0,1,-2,0,0,1,3,0
0,2,-4,0,0,2,2,1
4,1,3,2,2,1,1,0
0,0,0,0,0,0,6,0
1,1,0,1,1,1,7,1
0,0,0,0,0,0,0,1
1,2,-1,1,1,2,2,1
2,0,3,0,2,0,0,0
1,1,-1,1,1,1,8,0
0,0,0,0,0,0,2,0
0,0,0,0,0,0,1,2
2,0,3,0,2,0,1,0
0,0,0,0,0,0,4,0
1,0,1,0,1,0,2,0
1,1,1,1,1,1,3,0
2,1,3,2,1,1,2,2
2,2,2,2,1,2,1,2
3,1,0,2,2,1,3,2
1,0,2,0,1,0,5,2
0,0,0,0,0,0,3,1
1,0,3,0,1,0,0,0
0,2,-2,0,0,2,4,3
0,0,0,0,0,0,5,3
1,0,1,0,1,0,2,0
0,0,0,0,0,0,0,1
0,0,0,0,0,0,6,0
0,0,0,0,0,0,1,0
2,0,3,0,2,0,6,0
2,1,0,2,1,1,4,0
1,0,1,0,1,0,10,3
0,1,-1,0,0,1,6,0
0,0,0,0,0,0,5,2
0,1,-2,0,0,1,3,2
0,0,0,0,0,0,2,8
3,1,2,2,2,1,2,0
1,1,-1,1,1,1,3,0
1,1,1,1,1,1,1,0
1,0,1,0,1,0,4,0
1,0,2,0,1,0,1,0
0,1,-1,0,0,1,2,1
1,0,3,0,1,0,2,0
1,1,0,1,1,1,1,0
0,0,0,0,0,0,2,2
0,1,-1,0,0,1,5,0
0,0,0,0,0,0,1,0
1,4,-3,2,1,3,13,1
1,0,1,0,1,0,1,0
1,0,1,0,1,0,1,0
0,0,0,0,0,0,2,0
1,0,1,0,1,0,1,0
1,1,0,1,1,1,4,1
0,0,0,0,0,0,3,1
1,1,0,1,1,1,3,1
1,1,0,1,1,1,2,0
0,0,0,0,0,0,2,0
1,1,1,1,1,1,17,1
0,0,0,0,0,0,1,0
0,0,0,0,0,0,3,0
1,2,-2,1,1,2,2,1
0,0,0,0,0,0,4,2
1,0,1,0,1,0,2,0
1,1,0,1,1,1,2,0
1,1,-1,1,1,1,2,0
0,2,-2,0,0,2,4,0
1,1,0,1,1,1,1,1
4,0,4,0,4,0,19,0
0,0,0,0,0,0,3,0
1,0,2,0,1,0,1,1
0,1,-1,0,0,1,5,0
1,2,-2,2,1,1,9,0
0,0,0,0,0,0,1,2
1,0,3,0,1,0,1,1
1,1,0,1,1,1,3,0
0,0,0,0,0,0,4,0
0,1,-1,0,0,1,24,2
1,0,2,0,1,0,5,0
1,1,0,1,1,1,8,0
1,1,-1,1,1,1,5,7
1,0,2,0,1,0,1,0
0,0,0,0,0,0,4,0
0,1,-2,0,0,1,1,0
2,0,3,0,2,0,2,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,14,0
0,1,-2,0,0,1,6,1
0,0,0,0,0,0,1,2
1,1,-1,1,1,1,4,0
3,1,3,1,3,1,0,0
0,1,-2,0,0,1,0,1
0,0,0,0,0,0,5,0
2,0,2,0,2,0,2,0
0,2,-2,0,0,2,5,0
1,0,1,0,1,0,5,0
1,0,1,0,1,0,3,1
0,0,0,0,0,0,3,1
0,0,0,0,0,0,4,0
0,0,0,0,0,0,6,2
0,0,0,0,0,0,0,3
1,0,2,0,1,0,3,0
0,2,-2,0,0,2,9,3
0,2,-4,0,0,2,9,2
1,1,0,1,1,1,0,0
0,0,0,0,0,0,2,0
0,1,-2,0,0,1,4,0
1,1,0,1,1,1,13,2
1,0,1,0,1,0,1,0
1,0,1,0,1,0,1,0
0,1,-2,0,0,1,5,2
0,1,-1,0,0,1,1,0
1,0,2,0,1,0,2,0
1,0,1,0,1,0,12,3
0,0,0,0,0,0,4,1
0,0,0,0,0,0,2,1
0,0,0,0,0,0,4,0
0,0,0,0,0,0,6,2
0,0,0,0,0,0,4,0
1,0,1,0,1,0,2,3
0,1,-1,0,0,1,1,1
1,0,1,0,1,0,1,0
1,4,-3,2,1,3,15,1
1,0,1,0,1,0,8,0
0,1,-2,0,0,1,0,0
2,1,3,1,2,1,1,0
0,1,-2,0,0,1,0,1
0,0,0,0,0,0,3,0
0,0,0,0,0,0,1,0
1,0,1,0,1,0,8,0
1,0,1,0,1,0,1,0
0,0,0,0,0,0,9,2
0,0,0,0,0,0,4,0
1,0,1,0,1,0,3,1
0,1,-3,0,0,1,3,4
2,0,2,0,2,0,1,0
1,0,2,0,1,0,1,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,3,2
0,1,-1,0,0,1,7,1
0,1,-1,0,0,1,1,0
2,0,3,0,2,0,29,0
3,0,6,0,3,0,2,1
0,0,0,0,0,0,3,1
1,0,1,0,1,0,13,2
0,1,-1,0,0,1,0,0
1,0,2,0,1,0,5,0
1,1,-1,1,1,1,1,3
0,1,-1,0,0,1,3,3
1,0,1,0,1,0,2,0
1,1,-1,1,1,1,5,2
0,3,-6,0,0,3,6,0
2,0,4,0,2,0,9,0
0,0,0,0,0,0,1,1
0,0,0,0,0,0,4,5
2,0,3,0,2,0,3,0
1,1,0,1,1,1,2,2
0,1,-3,0,0,1,9,0
1,3,-3,1,1,3,3,0
1,0,1,0,1,0,1,1
2,1,2,2,1,1,9,3
0,1,-1,0,0,1,2,0
3,0,3,0,3,0,1,0
0,1,-1,0,0,1,1,0
1,0,1,0,1,0,1,0
0,0,0,0,0,0,3,2
1,0,2,0,1,0,6,0
1,0,1,0,1,0,2,1
0,0,0,0,0,0,15,2
0,0,0,0,0,0,2,2
1,0,3,0,1,0,7,0
1,0,1,0,1,0,5,1
0,0,0,0,0,0,1,1
1,0,1,0,1,0,5,2
1,0,2,0,1,0,1,0
0,1,-3,0,0,1,2,2
0,0,0,0,0,0,2,2
0,0,0,0,0,0,4,1
0,1,-1,0,0,1,5,1
1,0,1,0,1,0,1,0
0,1,-1,0,0,1,1,2
2,0,2,0,2,0,0,0
1,0,2,0,1,0,1,0
3,0,3,0,3,0,4,0
0,0,0,0,0,0,3,3
0,1,-1,0,0,1,8,6
0,0,0,0,0,0,1,1
2,0,3,0,2,0,3,0
0,1,-1,0,0,1,1,1
0,1,-1,0,0,1,5,0
1,0,2,0,1,0,2,0
0,0,0,0,0,0,3,0
1,1,0,1,1,1,6,0
0,0,0,0,0,0,3,3
1,2,-1,1,1,2,0,2
0,0,0,0,0,0,1,0
1,0,1,0,1,0,4,0
0,2,-4,0,0,2,9,0
2,0,3,0,2,0,14,0
2,1,1,2,1,1,7,0
0,2,-3,0,0,2,3,1
2,0,3,0,2,0,5,0
0,1,-1,0,0,1,13,0
0,2,-4,0,0,2,7,0
0,1,-1,0,0,1,5,1
1,1,0,1,1,1,4,0
0,0,0,0,0,0,2,1
1,0,1,0,1,0,2,0
0,0,0,0,0,0,3,1
1,0,2,0,1,0,9,1
1,0,2,0,1,0,4,1
0,0,0,0,0,0,2,1
1,0,2,0,1,0,2,0
0,0,0,0,0,0,4,1
3,0,3,0,3,0,2,0
2,0,4,0,2,0,7,0
0,1,-1,0,0,1,11,1
1,1,0,1,1,1,9,1
1,0,1,0,1,0,2,2
1,0,1,0,1,0,1,0
0,0,0,0,0,0,0,0
2,0,3,0,2,0,2,0
0,2,-4,0,0,2,9,0
0,0,0,0,0,0,0,1
0,0,0,0,0,0,14,0
1,0,1,0,1,0,1,1
0,1,-1,0,0,1,1,0
1,1,0,1,1,1,1,0
1,0,2,0,1,0,4,1
1,0,2,0,1,0,9,0
0,0,0,0,0,0,3,0
2,0,3,0,2,0,6,0
1,1,1,1,1,1,8,0
0,1,-1,0,0,1,37,1
1,0,2,0,1,0,1,0
2,0,3,0,2,0,4,0
0,1,-1,0,0,1,7,4
1,0,1,0,1,0,5,3
0,1,-1,0,0,1,2,0
2,0,2,0,2,0,5,0
1,0,1,0,1,0,3,2
2,1,2,2,1,1,3,0
0,0,0,0,0,0,2,0
2,0,4,0,2,0,6,4
1,0,1,0,1,0,2,0
2,1,1,2,1,1,2,4
0,0,0,0,0,0,1,3
1,0,1,0,1,0,6,0
0,0,0,0,0,0,4,1
1,0,2,0,1,0,9,1
1,1,-1,1,1,1,7,0
0,0,0,0,0,0,2,2
0,2,-2,0,0,2,0,0
1,1,0,1,1,1,10,0
1,0,2,0,1,0,7,0
1,0,1,0,1,0,1,0
0,0,0,0,0,0,6,2
0,0,0,0,0,0,7,0
0,1,-1,0,0,1,2,4
2,0,3,0,2,0,4,0
1,1,0,1,1,1,9,1
1,0,2,0,1,0,1,0
1,0,2,0,1,0,1,0
0,1,-1,0,0,1,4,1
1,1,0,1,1,1,7,0
2,2,0,1,2,2,8,2
0,0,0,0,0,0,4,0
0,0,0,0,0,0,1,0
1,0,2,0,1,0,5,2
1,0,1,0,1,0,13,1
0,1,-2,0,0,1,5,2
1,0,1,0,1,0,1,0
0,0,0,0,0,0,1,0
0,1,-1,0,0,1,9,1
0,0,0,0,0,0,4,3
2,1,3,1,2,1,3,0
1,0,1,0,1,0,5,0
1,0,1,0,1,0,3,0
0,0,0,0,0,0,2,0
1,0,1,0,1,0,2,0
0,0,0,0,0,0,5,0
1,1,0,1,1,1,2,0
1,1,1,1,1,1,18,7
0,0,0,0,0,0,5,0
0,0,0,0,0,0,1,1
1,0,1,0,1,0,1,3
0,0,0,0,0,0,8,2
1,0,2,0,1,0,3,1
1,0,1,0,1,0,12,0
0,0,0,0,0,0,4,2
0,0,0,0,0,0,1,0
2,0,2,0,2,0,6,0
1,0,1,0,1,0,7,0
1,2,-2,1,1,2,8,0
1,1,0,1,1,1,4,0
0,2,-2,0,0,2,2,0
2,0,3,0,2,0,80,0
0,0,0,0,0,0,2,0
1,0,1,0,1,0,1,3
2,1,2,1,2,1,15,0
0,0,0,0,0,0,2,0
1,0,1,0,1,0,13,0
0,0,0,0,0,0,2,0
1,0,1,0,1,0,9,0
0,1,-1,0,0,1,5,0
0,1,-3,0,0,1,1,2
1,0,1,0,1,0,3,0
3,0,4,0,3,0,2,0
0,2,-2,0,0,2,2,0
0,0,0,0,0,0,2,0
0,1,-1,0,0,1,0,1
1,0,2,0,1,0,3,0
1,0,1,0,1,0,2,1
0,1,-1,0,0,1,0,2
0,1,-1,0,0,1,1,0
0,0,0,0,0,0,1,1
2,0,2,0,2,0,2,0
0,0,0,0,0,0,1,2
1,0,1,0,1,0,7,0
0,0,0,0,0,0,5,0
0,0,0,0,0,0,6,1
0,0,0,0,0,0,2,0
0,0,0,0,0,0,1,0
0,1,-2,0,0,1,7,0
1,1,0,1,1,1,1,0
1,0,2,0,1,0,5,0
0,0,0,0,0,0,0,2
0,2,-3,0,0,2,8,0
0,1,-1,0,0,1,4,0
1,0,1,0,1,0,2,1
0,1,-2,0,0,1,6,4
1,0,1,0,1,0,2,1
2,0,3,0,2,0,0,1
0,0,0,0,0,0,7,1
0,0,0,0,0,0,7,0
3,0,3,0,3,0,2,0
3,1,2,2,2,1,11,2
2,0,3,0,2,0,1,4
2,0,3,0,2,0,5,0
1,0,2,0,1,0,0,0
3,0,3,0,3,0,2,2
0,0,0,0,0,0,3,2
3,0,3,0,3,0,8,2
0,0,0,0,0,0,1,0
1,1,-1,1,1,1,3,0
0,1,-1,0,0,1,0,1
0,0,0,0,0,0,2,2
0,0,0,0,0,0,9,0
1,1,-1,1,1,1,4,0
2,1,1,2,1,1,3,1
0,1,-1,0,0,1,7,0
0,1,-2,0,0,1,0,0
0,2,-2,0,0,2,9,0
1,1,0,1,1,1,2,0
1,4,-3,2,1,3,14,1
0,3,-6,0,0,3,2,0
0,0,0,0,0,0,4,0
0,1,-2,0,0,1,2,0
1,3,-3,1,1,3,1,0
3,0,3,0,3,0,8,9
0,1,-1,0,0,1,9,1
1,0,2,0,1,0,2,1
1,3,-3,1,1,3,7,2
3,0,4,0,3,0,8,0
0,0,0,0,0,0,1,4
1,0,1,0,1,0,1,1
2,0,3,0,2,0,21,1
1,1,1,1,1,1,8,3
1,0,3,0,1,0,1,0
0,0,0,0,0,0,7,1
1,0,1,0,1,0,15,0
1,3,-2,2,1,2,4,1
2,0,2,0,2,0,1,0
1,0,1,0,1,0,1,0
1,3,-4,2,1,2,2,1
2,1,3,1,2,1,2,0
0,0,0,0,0,0,2,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,7,3
0,0,0,0,0,0,2,2
1,0,1,0,1,0,4,0
3,2,1,2,2,2,7,0
0,0,0,0,0,0,4,1
1,0,1,0,1,0,1,1
1,0,2,0,1,0,3,4
0,0,0,0,0,0,4,1
1,1,-1,1,1,1,4,1
1,0,2,0,1,0,12,1
2,0,4,0,2,0,2,0
0,1,-1,0,0,1,1,1
2,0,4,0,2,0,8,1
1,0,1,0,1,0,1,0
1,1,0,1,1,1,6,3
1,0,1,0,1,0,1,1
0,1,-1,0,0,1,3,2
1,0,1,0,1,0,6,0
0,1,-2,0,0,1,8,0
1,0,1,0,1,0,2,0
0,2,-4,0,0,2,3,0
1,0,1,0,1,0,2,0
0,0,0,0,0,0,3,0
1,0,2,0,1,0,1,0
0,1,-1,0,0,1,3,0
1,1,0,1,1,1,5,3
0,1,-2,0,0,1,6,1
0,0,0,0,0,0,1,0
1,0,1,0,1,0,7,2
1,1,-1,1,1,1,9,1
0,0,0,0,0,0,2,0
1,0,1,0,1,0,3,0
2,0,4,0,2,0,4,1
1,2,-1,1,1,2,3,0
1,0,1,0,1,0,13,5
2,0,3,0,2,0,12,0
2,0,2,0,2,0,3,3
0,0,0,0,0,0,3,1
2,0,4,0,2,0,1,0
0,0,0,0,0,0,9,0
3,0,3,0,3,0,9,0
0,0,0,0,0,0,4,0
1,1,0,1,1,1,1,0
3,0,3,0,3,0,3,0
0,0,0,0,0,0,4,0
1,2,-2,1,1,2,3,0
0,0,0,0,0,0,1,0
2,1,0,2,1,1,3,1
1,0,2,0,1,0,1,0
2,0,2,0,2,0,7,0
0,0,0,0,0,0,21,0
1,0,1,0,1,0,1,1
0,1,-3,0,0,1,2,0
0,0,0,0,0,0,7,0
0,2,-2,0,0,2,2,0
